Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2023-10-31T21:22:02Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8
2024-01-10T17:05:00Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-10-31T23:00:58Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8
2024-03-04T22:35:34Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-24T03:03:10Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-21T04:37:04Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-17T04:44:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-19T04:48:13Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-16T02:16:44Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-11T05:09:36Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-07-29T03:49:33Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-13T21:41:17Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-11T17:06:28Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-01T21:30:06Z,www.amazon.com,US,Kindle E-reader,9AB16AE6EC24449DBFB06E5EB1561B67
2024-05-01T03:47:29Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-01T02:30:16Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-15T03:47:43Z,www.amazon.com,US,Kindle E-reader,B081914PR7
2024-01-05T21:13:26Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-11-28T04:57:04Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-01T04:19:19Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-14T02:54:47Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-25T06:08:44Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831
2024-06-03T20:50:49Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM
2023-11-03T03:20:00Z,www.amazon.com,US,Kindle E-reader,B07CWDMQ45
2024-04-01T03:41:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-14T21:16:57Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ
2023-12-23T05:12:59Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-02T23:12:36Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-15T22:15:22Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-05-05T03:52:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-10-22T03:57:34Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-22T03:36:34Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-06T05:22:29Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-13T07:04:35Z,www.amazon.com,US,Kindle E-reader,B0BPNP7YQB
2024-05-11T04:54:44Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T23:24:00Z,www.amazon.com,US,Kindle E-reader,B00BUP18U0
2024-02-14T21:16:48Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ
2024-07-29T03:28:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-21T04:50:15Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-30T03:27:36Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-11T04:56:01Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-31T21:34:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-16T03:35:56Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-18T04:10:20Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-01T18:37:12Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ
2024-03-03T18:53:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-10-20T02:35:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-30T03:20:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-06T05:22:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-01T04:18:56Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-15T22:15:20Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW
2024-05-09T03:37:07Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-01-03T21:32:47Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-18T03:31:33Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-28T16:33:04Z,www.amazon.com,US,Kindle E-reader,B0BTZRQHJM
2024-04-02T03:56:18Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-11T21:36:38Z,www.amazon.com,US,Kindle E-reader,B0BR511292
2024-05-18T03:01:22Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-20T04:35:49Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-11T04:00:36Z,www.amazon.com,US,Kindle E-reader,B0927NRBFB
2023-11-04T05:58:37Z,www.amazon.com,US,Kindle E-reader,B0BPX7SF89
2024-01-02T05:22:41Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ
2024-05-30T03:28:55Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-01T04:20:25Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-13T05:23:35Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-01T04:07:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-18T04:45:00Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-11T03:37:55Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-03T03:17:51Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-06-13T02:33:27Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T04:00:43Z,www.amazon.com,US,Kindle E-reader,B0BJSGV831
2024-05-05T21:11:06Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-12T05:35:44Z,www.amazon.com,US,Kindle E-reader,B08TF1VTGX
2024-07-20T18:48:36Z,www.amazon.com,US,Kindle E-reader,28C62463866C4CC99233564ED847A1A5
2024-02-21T04:44:32Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-15T02:36:11Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-03T05:35:53Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-09T03:37:06Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W
2024-01-26T21:03:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-02T04:48:42Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-11T21:37:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-27T23:41:00Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-10T03:42:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-29T04:05:41Z,www.amazon.com,US,Kindle E-reader,B07QN87LQB
2024-04-11T22:37:15Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T02:07:14Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-23T18:13:04Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-31T04:53:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-07T21:09:57Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-20T03:52:16Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-01-15T18:26:23Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-30T03:54:41Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-07-15T22:11:31Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-03T06:11:41Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-27T03:40:00Z,www.amazon.com,US,Kindle E-reader,Not Available
2023-12-01T21:28:39Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-25T04:08:50Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-02-06T22:01:30Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-05-11T04:57:04Z,www.amazon.com,US,Kindle E-reader,Not Available
