created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2023-12-27T00:54:36Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,Open,More by Author
2023-10-07T01:15:46Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Open,Time To Read
2023-12-12T19:39:41Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Expand,BSE_EA
2023-12-27T00:54:36Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,Open,Goodreads Autoshelving Widget
2023-08-28T17:49:55Z,www.amazon.com,US,Kindle for Android,B093R2CP2V,Open,Time To Read
2023-12-12T19:39:41Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Open,More by Author
2023-08-28T17:49:55Z,www.amazon.com,US,Kindle for Android,B093R2CP2V,Open,More by Author
2024-03-28T03:51:26Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,Open,Book Description
2023-10-24T03:06:09Z,www.amazon.com,US,Kindle for Android,B0BP6S1S57,Open,Goodreads Autoshelving Widget
2023-10-24T03:06:09Z,www.amazon.com,US,Kindle for Android,B0BP6S1S57,Open,About the Author
2023-12-12T19:42:47Z,www.amazon.com,US,Kindle for Android,B0B6B4WPSF,Collapse,BSE_EA
2023-08-28T17:49:55Z,www.amazon.com,US,Kindle for Android,B093R2CP2V,Open,Goodreads Autoshelving Widget
2024-01-03T18:49:33Z,www.amazon.com,US,Kindle for Android,B0B7R4Q5DJ,Open,About the Author
2024-01-03T18:49:33Z,www.amazon.com,US,Kindle for Android,B0B7R4Q5DJ,Collapse,BSE_SA
2023-10-24T03:06:09Z,www.amazon.com,US,Kindle for Android,B0BP6S1S57,Open,Book Description
2024-03-28T03:51:26Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,Open,More by Author
2023-10-07T01:15:46Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Open,More by Author
2024-03-28T03:51:26Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,Open,Time To Read
2023-10-07T01:15:46Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Collapse,BSE_SA
2023-12-12T19:42:44Z,www.amazon.com,US,Kindle for Android,B0B6B4WPSF,Open,Buy This Book
2023-12-12T19:39:47Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Collapse,BSE_EA
2023-10-07T01:15:46Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Open,Goodreads Autoshelving Widget
2024-03-28T03:51:26Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,Open,Goodreads Autoshelving Widget
2023-08-28T17:49:56Z,www.amazon.com,US,Kindle for Android,B093R2CP2V,Collapse,BSE_SA
2023-12-27T00:54:36Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,Open,About the Author
2024-01-03T18:49:33Z,www.amazon.com,US,Kindle for Android,B0B7R4Q5DJ,Open,Goodreads Autoshelving Widget
2023-10-07T01:15:50Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Expand,BSE_SA
2023-12-12T19:39:41Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Open,Follow the Author
2023-12-12T19:42:44Z,www.amazon.com,US,Kindle for Android,B0B6B4WPSF,Open,reb
2023-10-07T01:15:46Z,www.amazon.com,US,Kindle for Android,B0BBC9K8C3,Open,Book Description
2023-10-24T03:06:09Z,www.amazon.com,US,Kindle for Android,B0BP6S1S57,Collapse,BSE_SA
2024-01-03T18:49:33Z,www.amazon.com,US,Kindle for Android,B0B7R4Q5DJ,Open,Book Description
2023-12-27T00:54:36Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,Collapse,BSE_SA
2023-12-12T19:39:41Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Open,Customers Who Bought This Also Bought
2023-12-27T00:54:36Z,www.amazon.com,US,Kindle for Android,B09Q2F1X14,Open,Time To Read
2024-01-03T18:49:33Z,www.amazon.com,US,Kindle for Android,B0B7R4Q5DJ,Open,Time To Read
2023-12-12T19:39:41Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Open,rtrv
2024-03-28T03:51:26Z,www.amazon.com,US,Kindle for Android,B0BTZRQHJM,Collapse,BSE_SA
