created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2025-06-15T21:15:31Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-09-02T17:30:55Z,www.amazon.com,US,Kindle for Android,05C4DA136A6A4FFC99DBA85BEE6FF300,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-11-25T17:49:27Z,www.amazon.com,US,Kindle for Android,7FLHIN5CJDB2OBP4B47X3KKHBVS7DZHH,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-30T01:28:15Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2025-03-09T17:51:54Z,www.amazon.com,US,Kindle for Android,PTBMJPRMFADHGCZ7ESUYHIIFVONVRXUJ,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-04-15T20:40:02Z,www.amazon.com,US,Kindle for Android,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-12-27T00:52:08Z,www.amazon.com,US,Kindle for Android,B09Y467GZY,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-21T23:24:24Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-06-15T21:16:08Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Customer pressed Yes on pop-up,Furthest Page Read pop-up,Not Available
2025-05-27T22:26:52Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2024-12-27T06:19:21Z,www.amazon.com,US,Kindle for Android,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-04-16T17:24:49Z,www.amazon.com,US,Kindle for Android,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-11-06T17:15:40Z,www.amazon.com,US,Kindle for Android,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2023-05-15T03:08:05Z,www.amazon.com,US,Kindle for Android,B09XL59MJX,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-29T03:41:18Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-01-12T05:37:15Z,www.amazon.com,US,Kindle for Android,B0BQVLNL73,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2025-02-12T12:00:44Z,www.amazon.com,US,Kindle for Android,WZ34AC3Z6QKT765I3B5YQEO3U3BZXKLN,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-01-19T05:35:06Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-01-07T01:53:37Z,www.amazon.com,US,Kindle for Android,JZLZQO3Y3EPKB7K2WUG7MGTYPVYOZWJS,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-08-23T10:46:43Z,www.amazon.com,US,Kindle for Android,3F18E7B1DE9B48E1B46CEBD543D9AD15,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-09-01T16:50:12Z,www.amazon.com,US,Kindle for Android,3451C4DEA84A49DEBFFFDDA0092EC804,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-02-18T05:23:42Z,www.amazon.com,US,Kindle for Android,LHXKLEWH52LWXBSOBOTMRLRJ2CONAJCC,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-08-09T02:39:41Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2024-12-23T18:43:34Z,www.amazon.com,US,Kindle for Android,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-08-05T23:12:14Z,www.amazon.com,US,Kindle for Android,B0CL3FMNKJ,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-17T10:49:03Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-14T23:59:51Z,www.amazon.com,US,Kindle for Android,2C4B5A07F41247DAAF830F1590836876,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-24T21:47:58Z,www.amazon.com,US,Kindle for Android,B0C7729CF8,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-12-12T19:39:36Z,www.amazon.com,US,Kindle for Android,B0C5LRCM2F,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-21T18:49:05Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-21T23:24:22Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-06-12T23:38:14Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-02-12T12:00:43Z,www.amazon.com,US,Kindle for Android,WZ34AC3Z6QKT765I3B5YQEO3U3BZXKLN,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-05-04T00:38:48Z,www.amazon.com,US,Kindle for Android,B084357H23,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-01-12T05:35:51Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-03-16T17:01:23Z,www.amazon.com,US,Kindle for Android,TEOQR3X2DN2TSHJ276HTYWLF6WUZXQBC,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-01-05T18:21:15Z,www.amazon.com,US,Kindle for Android,D81BB38BBD7A4F42B0EE762A686912BA,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-08T20:05:31Z,www.amazon.com,US,Kindle for Android,C36A14E8EC2F4079AD3377ED35C616AE,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-05-14T21:18:09Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-11-14T12:28:01Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2025-02-13T16:05:23Z,www.amazon.com,US,Kindle for Android,LHXKLEWH52LWXBSOBOTMRLRJ2CONAJCC,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-09-23T18:47:34Z,www.amazon.com,US,Kindle for Android,B0CQJHF3HQ,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-03T00:19:23Z,www.amazon.com,US,Kindle for Android,C36A14E8EC2F4079AD3377ED35C616AE,Customer pressed No on pop-up,Most Recent Page Read pop-up,Not Available
2024-04-28T23:04:34Z,www.amazon.com,US,Kindle for Android,B0C772ZLMQ,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2024-07-02T19:49:19Z,www.amazon.com,US,Kindle for Android,C36A14E8EC2F4079AD3377ED35C616AE,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-11-22T17:59:53Z,www.amazon.com,US,Kindle for Android,B09YRR8DB6,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-12-20T05:54:36Z,www.amazon.com,US,Kindle for Android,B08FGV64B1,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2023-11-11T13:11:02Z,www.amazon.com,US,Kindle for Android,B07CWDMQ45,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
2025-04-16T17:25:32Z,www.amazon.com,US,Kindle for Android,WVIR53TOCAWTSQCQN5QUVUTPLD2YC7AD,Customer pressed Yes on pop-up,Most Recent Page Read pop-up,Not Available
