created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2024-02-27T22:28:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,81,Yes
2023-12-17T04:47:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2024-08-27T22:05:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-10T21:12:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,8,Yes
2023-10-12T06:03:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,84,Yes
2024-05-15T03:45:40Z,www.amazon.com,US,Kindle E-reader,B081914PR7,Content stored in device,Total Books Sideloaded,4,Yes
2024-03-04T22:36:45Z,www.amazon.com,US,Kindle E-reader,B0C6KMGND1,Content stored in device,Total Books In Account,83,Yes
2025-02-26T10:59:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-12-11T17:05:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2024-11-03T14:11:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2025-04-05T17:36:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,81,Yes
2024-06-05T13:09:40Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,Content stored in device,Total Books Sideloaded,4,Yes
2024-07-09T21:46:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2023-10-20T21:46:09Z,www.amazon.com,US,Kindle E-reader,B09BV2JNWV,Content stored in device,Total Books Downloaded,8,Yes
2024-04-01T03:30:37Z,www.amazon.com,US,Kindle E-reader,B0BWGKNK7G,Content stored in device,Total Books Sideloaded,3,Yes
2023-11-06T22:53:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-02-27T22:28:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,4,Yes
2023-01-31T04:34:42Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,Content stored in device,Total Books In Account,98,Yes
2023-03-08T22:11:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,94,Yes
2024-08-27T22:05:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,3,Yes
2024-01-01T04:06:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2025-05-02T04:06:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,76,Yes
2024-05-16T02:46:12Z,www.amazon.com,US,Kindle E-reader,B081914PR7,Content stored in device,Total Books Sideloaded,4,Yes
2025-07-16T02:40:57Z,www.amazon.com,US,Kindle E-reader,MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,Content stored in device,Total Books In Account,77,Yes
2025-02-18T22:02:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-05-27T18:02:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,4,Yes
2023-10-05T03:59:37Z,www.amazon.com,US,Kindle E-reader,B0BP66G6B7,Content stored in device,Total Books Sideloaded,2,Yes
2023-04-05T21:48:08Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,Content stored in device,Total Books Downloaded,5,Yes
2023-05-12T12:56:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,96,Yes
2024-04-01T03:30:37Z,www.amazon.com,US,Kindle E-reader,B0BWGKNK7G,Content stored in device,Total Books Downloaded,9,Yes
2024-12-07T06:37:44Z,www.amazon.com,US,Kindle E-reader,B0CDWDLCNS,Content stored in device,Total Books In Account,79,Yes
2023-12-02T06:22:16Z,www.amazon.com,US,Kindle E-reader,B0C5LRCM2F,Content stored in device,Total Books Downloaded,7,Yes
2025-04-21T22:24:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,76,Yes
2024-05-10T21:12:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,4,Yes
2024-06-05T04:58:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,84,Yes
2025-03-14T02:48:50Z,www.amazon.com,US,Kindle E-reader,CJJUL3R7HSOXJG3AYG7MQZN3CZZWMZL5,Content stored in device,Total Books In Account,79,Yes
2025-04-21T02:34:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,77,Yes
2024-06-13T03:02:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-11-13T04:50:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-06-02T08:45:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,81,Yes
2023-11-06T22:53:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,82,Yes
2023-03-31T04:28:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2023-07-06T11:38:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2023-12-06T21:11:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2023-05-15T03:09:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2024-08-27T04:54:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2025-02-03T22:48:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,77,Yes
2024-05-31T22:04:32Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Content stored in device,Total Books Downloaded,7,Yes
