created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-06-26T01:24:43Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-29T02:46:31Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-07-29T20:26:51Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-06-27T19:12:10Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-14T21:27:16Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Navigation View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Time To Read Chapter,Tap
2025-05-27T11:05:27Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-30T01:28:19Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-27T22:32:56Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Top Toolbar,Close Book,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-29T03:47:07Z,www.amazon.com,US,Kindle for Android,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-27T22:26:48Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T03:32:26Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-21T18:52:58Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-26T01:32:21Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:40:58Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-07-29T20:26:52Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Location,Tap
