ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format","Product Name",Reason,"Software Version",Status,"Third Party Device","Update Date","Update Target"
B07GD51NCJ,"NOT AVAILABLE","NOT AVAILABLE",2023-07-21T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Rabbits for Food","NOT AVAILABLE",4064600031,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07GJBCLHN,"NOT AVAILABLE","NOT AVAILABLE",2023-07-18T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Mac's Problem","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09Y94K74X,"NOT AVAILABLE","NOT AVAILABLE",2023-07-11T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Everyone in My Family Has Killed Someone","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B7NDZNDV,"NOT AVAILABLE","NOT AVAILABLE",2023-06-30T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Small Mercies","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0BHTN6TL6,"NOT AVAILABLE","NOT AVAILABLE",2023-06-28T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Zero Days","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0BHCXVWGT,"NOT AVAILABLE","NOT AVAILABLE",2023-06-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","My Murder","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0BBCB6PFC,"NOT AVAILABLE","NOT AVAILABLE",2023-06-14T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Gone to the Wolves","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0BHCXVWGT,"NOT AVAILABLE","NOT AVAILABLE",2023-06-14T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","My Murder","NOT AVAILABLE",1285543400,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B000GCFX6S,"NOT AVAILABLE","NOT AVAILABLE",2023-06-12T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","The Pale Blue Eye","NOT AVAILABLE",1285530600,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B09XBGYWSR,"NOT AVAILABLE","NOT AVAILABLE",2023-06-12T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Code Name Blue Wren","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09XBGYWSR,"NOT AVAILABLE","NOT AVAILABLE",2023-06-08T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Code Name Blue Wren","NOT AVAILABLE",1285530600,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B0B5SR4KBR,"NOT AVAILABLE","NOT AVAILABLE",2023-06-03T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Choosing to Run","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B6JSJQLH,"NOT AVAILABLE","NOT AVAILABLE",2023-06-03T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Trackers","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B08PG6CKZJ,2023-05-27T00:00:00.00Z,2023-05-27T00:00:00.00Z,2023-05-29T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,Amazon.com,"Enhanced TypeSetting","Apples Never Fall","Request sent",3924980005,Failed,"NOT AVAILABLE",2023-05-27T00:00:00.00Z,"Book revision update"
B0B3Y4RYX6,"NOT AVAILABLE","NOT AVAILABLE",2023-05-27T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","We Share the Sun","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B098433CGQ,"NOT AVAILABLE","NOT AVAILABLE",2023-05-27T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Appeal","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B08PG6CKZJ,2023-05-21T00:00:00.00Z,2023-05-21T00:00:00.00Z,2023-05-21T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","Apples Never Fall","Request sent",1285517800,Success,"cf46bcb593354554ac0d6b60551cd370",2023-05-27T00:00:00.00Z,"Book revision update"
B003L77UKC,2023-01-27T00:00:00.00Z,2023-01-27T00:00:00.00Z,2023-05-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,Amazon.com,"Enhanced TypeSetting","A Calendar of Wisdom","Request sent",3924980005,Failed,"NOT AVAILABLE",2023-02-15T00:00:00.00Z,"Book revision update"
B08D4QJRY2,"NOT AVAILABLE","NOT AVAILABLE",2023-05-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","How to Survive: Self-Reliance in Extreme Circumstances","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B08PG6CKZJ,"NOT AVAILABLE","NOT AVAILABLE",2023-05-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Apples Never Fall","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B00AG8GXVQ,"NOT AVAILABLE","NOT AVAILABLE",2023-05-18T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Mrs. Ted Bliss","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09Y46DSD7,"NOT AVAILABLE","NOT AVAILABLE",2023-05-16T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Birnam Wood","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09XL59MJX,"NOT AVAILABLE","NOT AVAILABLE",2023-05-15T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Blaze Me a Sun","NOT AVAILABLE",3924980005,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09XL59MJX,"NOT AVAILABLE","NOT AVAILABLE",2023-05-15T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","Blaze Me a Sun","NOT AVAILABLE",1285505000,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
