ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format","Product Name",Reason,"Software Version",Status,"Third Party Device","Update Date","Update Target"
B08NT2VSWF,"NOT AVAILABLE","NOT AVAILABLE",2023-02-22T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Godspeed,"NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B0B2F5J32D,"NOT AVAILABLE","NOT AVAILABLE",2023-02-21T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Random,"NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B01COJUEZ0,"NOT AVAILABLE","NOT AVAILABLE",2023-02-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","A Gentleman in Moscow","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B07VDJBKNJ,"NOT AVAILABLE","NOT AVAILABLE",2023-02-20T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",Randomize,"NOT AVAILABLE",1285428200,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B07VDJBKNJ,"NOT AVAILABLE","NOT AVAILABLE",2023-02-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Randomize,"NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09NTK9WDQ,"NOT AVAILABLE","NOT AVAILABLE",2023-02-20T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE",Super-Infinite,"NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09QMHZ53K,"NOT AVAILABLE","NOT AVAILABLE",2023-02-15T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Demon Copperhead","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B00PSSG4MM,"NOT AVAILABLE","NOT AVAILABLE",2023-02-15T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","The Sympathizer","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09RX2WQ3M,"NOT AVAILABLE","NOT AVAILABLE",2023-02-07T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","No One Left to Come Looking for You","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B09NTK9WDQ,"NOT AVAILABLE","NOT AVAILABLE",2023-02-05T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",Super-Infinite,"NOT AVAILABLE",1285415400,Failed,"cf46bcb593354554ac0d6b60551cd370","NOT AVAILABLE","NOT AVAILABLE"
B09R21YVLM,"NOT AVAILABLE","NOT AVAILABLE",2023-01-28T00:00:00.00Z,"Enhanced TypeSetting",EINK,G0016T03101203AQ,"NOT AVAILABLE","NOT AVAILABLE","Small Game","NOT AVAILABLE",3889340042,Failed,"NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE"
B003L77UKC,2023-02-15T00:00:00.00Z,2023-01-27T00:00:00.00Z,2023-01-27T00:00:00.00Z,"Enhanced TypeSetting",ANDROID,"NOT AVAILABLE",Amazon.com,"Enhanced TypeSetting","A Calendar of Wisdom","Request sent",1285415400,Success,"cf46bcb593354554ac0d6b60551cd370",2023-02-15T00:00:00.00Z,"Book revision update"
