"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Hansons Half-Marathon Method: Run Your Best Half-Marathon the Hansons Way","B00JV2H5I8","Item Owner","PublicLibraryLending"
"The Last Ranger: A novel","B0BL6YQ61Y","Item Owner","PublicLibraryLending"
"Embers of the Hands: Hidden Histories of the Viking Age","1324089237","Not Interested","GR"
"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","B0CC1J32NG","Item Owner","PublicLibraryLending"
"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","0385544766","Not Interested","GR"
"Godwin: A Novel","0593701321","Not Interested","GR"
"Godwin: A Novel","B0CH9KQYHS","Sample Owner","Sample"
"Blackouts: A Novel","B0BQGDMFH6","Item Owner","PublicLibraryLending"
"To the Limit: The Meaning of Endurance from Mexico to the Himalayas","1399403427","Not Interested","GR"
"The Frontrunner","B0CZXNTCFX","Sample Owner","Sample"
"Burn: A novel","B0CN8TPKSP","Sample Owner","Sample"
"The Secret Lives of Booksellers and Librarians: True Stories of the Magic of Reading (Heroes Among Us Book 4)","B0CDWDLCNS","Item Owner","PublicLibraryLending"
"Orbital: A Novel (Booker Prize Winner)","B0BZ5Y513V","Item Owner","PublicLibraryLending"
"The God of the Woods: A Novel","B0CL1YQLB5","Not Interested","GR"
"The Heart in Winter: A Novel","0385550596","Item Owner","Purchase"
"Burn: A novel","0593801628","Item Owner","Purchase"
"Martyr!: A novel","0593537610","Item Owner","Purchase"
"The God of the Woods: A Novel","0593418913","Item Owner","Purchase"
"Getting to Know Death: A Meditation","1639734449","Not Interested","GR"
"The Ministry of Time: A Novel","1668045141","Not Interested","GR"
"Safe Enough: Crime Stories by the Author of Jack Reacher","B0CW1J3Y5G","Item Owner","PublicLibraryLending"
"Not Available","B0B9Q44R96","Not Interested","GR"
"Blood Test: A Comedy","0593700856","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"That Librarian: The Fight Against Book Banning in America","B0CQFXKTPW","Item Owner","PublicLibraryLending"
"The Life Impossible: A Novel","B0CGZFPKTZ","Item Owner","PublicLibraryLending"
"Checkout 19: A Novel","B097XBXQ1T","Item Owner","PublicLibraryLending"
"The Sequel: A Novel (The Book Series 2)","B0CQHM2KL5","Item Owner","PublicLibraryLending"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Here One Moment","0593798600","Not Interested","GR"
"We Solve Murders: A Novel","B0CQJHF3HQ","Item Owner","PublicLibraryLending"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Creation Lake: A Novel","1982116528","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"The Kind Worth Killing: A Novel","0062267523","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"A Talent for Murder: A Novel","0063205033","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"The Examined Run: Why Good People Make Better Runners","0197678696","Not Interested","GR"
"A (Very) Short History of Life on Earth: 4.6 Billion Years in 12 Pithy Chapters","B092T8QDYW","Item Owner","PublicLibraryLending"
"Invitation to a Banquet: A History of Chinese Food","B0BWGKNK7G","Item Owner","PublicLibraryLending"
"I Cheerfully Refuse","B0CH1NHWNW","Item Owner","PublicLibraryLending"
"The Midnight Feast: An NPR Best Book of the Year","B0CL3FMNKJ","Item Owner","PublicLibraryLending"
"End of Story: An Enthralling Thriller with a Suspenseful Plot, Get Lost in the Pages and Unravel the Mystery","B078R46LCY","Item Owner","PublicLibraryLending"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Cold Victory","B0CQ38FNR9","Sample Owner","Sample"
"The Hunter: A Novel","B0C7729CF8","Item Owner","PublicLibraryLending"
"The Hunter: A Novel","0593493435","Not Interested","GR"
"The Pale Blue Eye: A Novel","B000GCFX6S","Item Owner","PublicLibraryLending"
"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","B0CDKLBD2W","Item Owner","PublicLibraryLending"
"Who Owns This Sentence?: A History of Copyrights and Wrongs","B0C97F8KPY","Item Owner","PublicLibraryLending"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Outsider: An Old Man, a Mountain and the Search for a Hidden Past","B0B7NZHCKR","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Not Available","Not Available","Pdoc Owner","PDocs"
"The Winner: A Novel","0063353598","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"Still Waters: A Novel","1250325692","Not Interested","GR"
"Not Available","Not Available","Pdoc Owner","PDocs"
"The Body in Question: A Novel","B07RT71Z48","Not Interested","GR"
"One Perfect Couple","B0CL5G23ZF","Item Owner","PublicLibraryLending"
"The Denial of Death","B002C7Z57C","Sample Owner","Sample"
"The Winner: A Novel","B0CGTHLBT9","Sample Owner","Sample"
"The Golden Spoon: A Novel","B0B3Y9JVMK","Item Owner","PublicLibraryLending"
"The Ferryman: A Novel","B0B8GZ58DK","Item Owner","PublicLibraryLending"
"Balloon Dog","B09X34KMRM","Item Owner","PublicLibraryLending"
"The Aosawa Murders","B07QN87LQB","Item Owner","PublicLibraryLending"
"I Hope This Finds You Well: A Novel","B0CJ9TSSYB","Item Owner","PublicLibraryLending"
"Tokyo Ueno Station (National Book Award Winner): A Novel","B081914PR7","Item Owner","PublicLibraryLending"
"A Travel Guide to the Middle Ages: The World Through Medieval Eyes","B0C97G1ZR6","Item Owner","PublicLibraryLending"
"A Young People's History of the United States (For Young People Series)","B003B4IW2U","Item Owner","PublicLibraryLending"
"The Heaven & Earth Grocery Store: A Novel","B0BPNP7YQB","Item Owner","PublicLibraryLending"
"The Covenant of Water (Oprah's Book Club)","B0BJSGV831","Item Owner","PublicLibraryLending"
"The Day Tripper: A Powerful Time Travel Redemption Story of Small Actions Leading to Big Consequences","B0C4PX8RD7","Item Owner","PublicLibraryLending"
"Knowing What We Know: The Transmission of Knowledge: From Ancient Wisdom to Modern Magic","B0B7NGCGHG","Sample Owner","Sample"
