created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2023-03-17T03:00:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Browser,Tap
2023-02-06T23:57:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2023-08-28T17:51:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2025-07-06T20:09:23Z,www.amazon.com,US,Kindle E-reader,DLPKNHHPHNJ4DUAQY2GFGV5CUSFQXXJU,exitBook,In-book,Tap
2025-01-26T21:53:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,Store,Tap
2023-02-20T21:50:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2023-03-10T05:12:36Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,exitBook,In-book,Tap
2024-07-30T03:27:17Z,www.amazon.com,US,Kindle E-reader,B078R46LCY,exitBook,In-book,Tap
2023-05-01T21:07:45Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Menu,In-book,Tap
2023-08-11T20:34:54Z,www.amazon.com,US,Kindle E-reader,B0BL126WSH,exitBook,In-book,Tap
2023-12-23T18:12:37Z,www.amazon.com,US,Kindle E-reader,B0B7NGCGHG,Goto,In-book,Tap
2023-07-04T03:57:44Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,exitBook,In-book,Tap
2024-05-04T17:48:21Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,Goto,In-book,Tap
2023-04-09T04:01:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Library,KPP_HOME,Tap
2025-07-27T00:56:37Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Goto,In-book,Tap
2023-01-01T04:42:42Z,www.amazon.com,US,Kindle E-reader,B09T9D8QY7,exitBook,In-book,Tap
2023-03-13T05:06:37Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,exitBook,In-book,Tap
