created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2023-02-01T04:49:24Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-21T21:15:09Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,exiting lock screen,Kindle Special Offers enabled
2023-05-02T23:11:47Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition to screen saver,Kindle Special Offers enabled
2023-04-28T04:05:10Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,transition to screen saver,Kindle Special Offers enabled
2023-02-14T21:36:06Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,exiting lock screen,Kindle Special Offers enabled
2023-02-24T04:41:29Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,transition to screen saver,Kindle Special Offers enabled
2023-04-23T04:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-06-20T03:20:56Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition to screen saver,Kindle Special Offers enabled
2023-01-27T01:06:29Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,transition to screen saver,Kindle Special Offers enabled
2023-03-02T22:47:45Z,www.amazon.com,US,Kindle E-reader,B01HLY0Z0W,exiting lock screen,Kindle Special Offers enabled
2023-07-07T02:42:43Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,exiting lock screen,Kindle Special Offers enabled
2023-05-14T20:13:39Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition to screen saver,Kindle Special Offers enabled
2023-06-29T10:49:13Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition to screen saver,Kindle Special Offers enabled
2023-05-03T00:00:13Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-12T03:01:27Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-22T02:22:18Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,transition to screen saver,Kindle Special Offers enabled
2023-02-21T22:38:07Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,transition to screen saver,Kindle Special Offers enabled
2023-03-11T23:13:37Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-28T20:45:47Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-02-14T04:15:37Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,exiting lock screen,Kindle Special Offers enabled
2023-05-24T03:36:37Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-06-15T20:50:14Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-27T03:34:43Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-24T03:19:21Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-05T17:09:45Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,exiting lock screen,Kindle Special Offers enabled
2023-03-09T18:07:39Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition to screen saver,Kindle Special Offers enabled
2023-05-22T03:39:14Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-20T03:43:32Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-22T03:18:47Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-26T20:56:36Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,transition to screen saver,Kindle Special Offers enabled
2023-04-05T04:28:34Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,exiting lock screen,Kindle Special Offers enabled
2023-04-04T03:01:23Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-07-26T21:00:17Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,transition to screen saver,Kindle Special Offers enabled
2023-05-12T15:47:13Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-07-04T19:04:28Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-18T21:23:10Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exiting lock screen,Kindle Special Offers enabled
2023-03-30T05:16:05Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,transition to screen saver,Kindle Special Offers enabled
2023-03-10T22:22:47Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,exiting lock screen,Kindle Special Offers enabled
2023-03-17T07:09:16Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-04-09T23:17:56Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition to screen saver,Kindle Special Offers enabled
2023-04-27T22:14:52Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,exiting lock screen,Kindle Special Offers enabled
2023-05-14T22:43:36Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition to screen saver,Kindle Special Offers enabled
2023-03-29T17:30:26Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,transition to screen saver,Kindle Special Offers enabled
2023-02-22T03:42:03Z,www.amazon.com,US,Kindle E-reader,B08NT2VSWF,exiting lock screen,Kindle Special Offers enabled
2023-06-28T23:23:23Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,transition to screen saver,Kindle Special Offers enabled
2023-03-11T17:02:49Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,exiting lock screen,Kindle Special Offers enabled
2023-06-25T03:13:10Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-04-28T22:57:03Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-05-07T17:11:47Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition to screen saver,Kindle Special Offers enabled
2023-02-01T19:48:12Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-03T17:19:01Z,www.amazon.com,US,Kindle E-reader,B0B6JSJQLH,exiting lock screen,Kindle Special Offers enabled
2023-04-14T03:49:14Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition to screen saver,Kindle Special Offers enabled
2023-06-15T20:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-07-25T03:22:03Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,transition to screen saver,Kindle Special Offers enabled
2023-03-23T21:16:40Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,exiting lock screen,Kindle Special Offers enabled
2023-03-25T18:29:14Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,exiting lock screen,Kindle Special Offers enabled
2023-02-20T21:39:22Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-11T01:59:23Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-12T15:46:43Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-05-21T22:53:47Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition to screen saver,Kindle Special Offers enabled
2023-03-08T06:25:45Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,exiting lock screen,Kindle Special Offers enabled
2023-07-14T02:49:11Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-26T03:08:29Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,exiting lock screen,Kindle Special Offers enabled
2023-03-07T04:03:07Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-04-10T23:43:49Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,exiting lock screen,Kindle Special Offers enabled
2023-03-29T23:50:50Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers enabled
2023-05-28T22:31:59Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition to screen saver,Kindle Special Offers enabled
2023-06-24T02:24:40Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-24T03:08:12Z,www.amazon.com,US,Kindle E-reader,B000U913EI,exiting lock screen,Kindle Special Offers enabled
2023-02-02T22:20:31Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,transition to screen saver,Kindle Special Offers enabled
2023-04-25T03:51:30Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,transition to screen saver,Kindle Special Offers enabled
2023-03-25T18:29:08Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-02-08T22:18:34Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-05-18T03:45:05Z,www.amazon.com,US,Kindle E-reader,B00AG8GXVQ,exiting lock screen,Kindle Special Offers enabled
2023-02-15T05:00:33Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,exiting lock screen,Kindle Special Offers enabled
2023-04-12T13:22:50Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-07-06T22:29:18Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,transition to screen saver,Kindle Special Offers enabled
2023-07-05T02:14:43Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-28T21:55:00Z,www.amazon.com,US,Kindle E-reader,B0B7NDZNDV,exiting lock screen,Kindle Special Offers enabled
2023-05-26T03:27:05Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-05-02T23:58:09Z,www.amazon.com,US,Kindle E-reader,B084357H23,transition to screen saver,Kindle Special Offers enabled
2023-05-26T04:05:32Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,transition to screen saver,Kindle Special Offers enabled
2023-01-27T22:16:49Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-26T03:14:04Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,exiting lock screen,Kindle Special Offers enabled
2023-04-28T20:54:14Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,transition to screen saver,Kindle Special Offers enabled
2023-06-15T00:38:29Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,transition to screen saver,Kindle Special Offers enabled
2023-05-25T18:04:48Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,exiting lock screen,Kindle Special Offers enabled
2023-05-12T21:05:17Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-10T23:42:18Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-20T02:24:58Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-27T04:08:31Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,transition to screen saver,Kindle Special Offers enabled
2023-06-13T01:23:22Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-06-27T20:11:27Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-07T18:46:19Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,transition to screen saver,Kindle Special Offers enabled
2023-03-19T04:48:26Z,www.amazon.com,US,Kindle E-reader,B006CUDDUG,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-14T23:15:58Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,transition to screen saver,Kindle Special Offers enabled
2023-05-28T22:41:27Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers enabled
2023-07-12T03:01:36Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,exiting lock screen,Kindle Special Offers enabled
2023-05-13T04:01:56Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition to screen saver,Kindle Special Offers enabled
2023-05-14T21:48:11Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-29T21:13:40Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-08T04:23:53Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,exiting lock screen,Kindle Special Offers enabled
2023-03-13T03:50:55Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-03-03T20:49:17Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,transition to screen saver,Kindle Special Offers enabled
2023-07-23T19:52:56Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,transition from hibernate to lock screen,Kindle Special Offers enabled
2023-04-16T18:22:47Z,www.amazon.com,US,Kindle E-reader,B000U913EI,transition from hibernate to lock screen,Kindle Special Offers enabled
