campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-08-16T23:43:53.654Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,1,0
2025-06-27T21:56:12.005Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2024-11-23T04:05:43.754Z,www.amazon.com,US,Kindle E-reader,4320330039,Not Applicable,displayed,Not Available,1,1
2025-02-12T22:25:50.461Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,2
2024-08-27T05:08:36.194Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,A7E4563B33564CA4904BBD751938CA1C,1,1
2024-11-02T03:34:39.251Z,www.amazon.com,US,Kindle E-reader,4289730037,Not Applicable,displayed,Not Available,1,1
2025-07-18T16:31:01.869Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-06-24T22:43:02.362Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-04-13T20:09:12.569Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,CDR35CJELKKDYPJWZBMD6CG3XFMVZI4U,1,1
2025-04-27T03:30:22.422Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2024-08-09T03:18:40.175Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,4,7
2025-06-27T21:56:12.065Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,0
2025-03-27T01:47:59.354Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,4BEVZWGVCV6GBB2TWCMA4Q54PC2UHGLZ,1,2
2024-09-01T18:54:13.790Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,3451C4DEA84A49DEBFFFDDA0092EC804,1,1
2025-01-15T05:10:34.165Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-06-11T03:09:18.356Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2025-04-21T22:28:19.327Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-04-13T20:09:38.824Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,CDR35CJELKKDYPJWZBMD6CG3XFMVZI4U,1,1
2025-07-06T20:09:23.400Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,DLPKNHHPHNJ4DUAQY2GFGV5CUSFQXXJU,1,1
2025-03-26T03:31:21.639Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,4BEVZWGVCV6GBB2TWCMA4Q54PC2UHGLZ,1,2
2025-05-24T03:40:40.259Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,0
2025-02-12T22:14:18.066Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2025-02-21T23:00:52.155Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,MX76DL77CZU6RDBXMKY4ZAL5GJ55MMGG,1,1
2025-01-10T04:24:49.672Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,1,2
2025-06-24T00:02:23.706Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,4
2025-03-25T21:54:30.297Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,0
2024-11-08T04:57:45.705Z,www.amazon.com,US,Kindle E-reader,4289730037,131-0015325-6370956,displayed,Not Available,3,6
2025-07-06T03:29:32.337Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,0
2025-05-06T03:24:16.652Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,3
