country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2024-04-02T20:58:23Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-01-27T02:59:02Z,www.amazon.com,Kindle E-reader,B0C3C886FY,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-22T03:36:38Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-12-25T04:48:09Z,www.amazon.com,Kindle E-reader,B09Y467GZY,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-18T22:09:19Z,www.amazon.com,Kindle E-reader,B0C7729CF8,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-29T21:15:45Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-02-03T06:12:19Z,www.amazon.com,Kindle E-reader,B0C592RHNC,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-07-03T02:14:41Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-07-08T21:42:39Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2024-04-20T04:00:45Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2024-06-19T03:50:42Z,www.amazon.com,Kindle E-reader,096E674F00DC4192A0B7E99C3AB4A388,Current Last Page Read Not Present,Not Available
US,2024-04-19T17:03:03Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2024-07-15T03:29:18Z,www.amazon.com,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Recently Last Page Read Synced and Selected,Not Available
US,2023-08-04T04:19:19Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-12-22T18:21:17Z,www.amazon.com,Kindle E-reader,B09Y467GZY,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-31T21:34:38Z,www.amazon.com,Kindle E-reader,28C62463866C4CC99233564ED847A1A5,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-15T17:37:30Z,www.amazon.com,Kindle E-reader,B0B9SN8K6H,Already at Most Recent Page Read,Not Available
US,2024-07-08T21:42:38Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-16T03:10:50Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
