country,created_timestamp,device_family,preferred_marketplace,ASIN,page_where_dialog_was_shown,customer_action,number_of_pages_swiped_while_dialog_is_displayed
US,2024-04-16T03:33:56Z,Kindle E-reader,www.amazon.com,B003B4IW2U,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,1
US,2023-12-19T04:29:12Z,Kindle E-reader,www.amazon.com,B08FGV64B1,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-02-15T05:43:32Z,Kindle E-reader,www.amazon.com,LHXKLEWH52LWXBSOBOTMRLRJ2CONAJCC,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-09-25T03:56:13Z,Kindle E-reader,www.amazon.com,B0CQJHF3HQ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-06-12T23:42:39Z,Kindle E-reader,www.amazon.com,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Last Page Read,backward_page_swipe_,1
US,2025-06-12T23:42:41Z,Kindle E-reader,www.amazon.com,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Last Page Read,Most Recent Page Read Dialog Box Dismissed,-1124
US,2025-03-04T03:38:01Z,Kindle E-reader,www.amazon.com,Not Available,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-08-06T02:46:31Z,Kindle E-reader,www.amazon.com,B0CL3FMNKJ,Most Recent Page Read,Forward Page Swipe in Progressbar,1
US,2025-04-14T22:47:12Z,Kindle E-reader,www.amazon.com,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-02-24T22:42:14Z,Kindle E-reader,www.amazon.com,MX76DL77CZU6RDBXMKY4ZAL5GJ55MMGG,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-08-05T21:41:18Z,Kindle E-reader,www.amazon.com,B0CL3FMNKJ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-07-30T03:27:49Z,Kindle E-reader,www.amazon.com,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Most Recent Page Read,Most Recent Page Read Dialog Box Dismissed,0
US,2024-08-06T02:46:33Z,Kindle E-reader,www.amazon.com,B0CL3FMNKJ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,964
US,2025-02-12T05:28:15Z,Kindle E-reader,www.amazon.com,WZ34AC3Z6QKT765I3B5YQEO3U3BZXKLN,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-06-27T21:50:06Z,Kindle E-reader,www.amazon.com,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Most Recent Page Read,Most Recent Page Read Dialog Box Dismissed,0
US,2024-09-03T01:47:43Z,Kindle E-reader,www.amazon.com,05C4DA136A6A4FFC99DBA85BEE6FF300,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-05-14T23:56:57Z,Kindle E-reader,www.amazon.com,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Most Recent Page Read,Most Recent Page Read Dialog Box Dismissed,0
US,2025-03-10T03:25:46Z,Kindle E-reader,www.amazon.com,PTBMJPRMFADHGCZ7ESUYHIIFVONVRXUJ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-09-24T22:21:56Z,Kindle E-reader,www.amazon.com,B0CQJHF3HQ,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-09-01T18:54:10Z,Kindle E-reader,www.amazon.com,3451C4DEA84A49DEBFFFDDA0092EC804,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-04-07T02:34:25Z,Kindle E-reader,www.amazon.com,Not Available,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-08-08T03:15:43Z,Kindle E-reader,www.amazon.com,B0CL3FMNKJ,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-04-24T04:14:25Z,Kindle E-reader,www.amazon.com,WS7ZNQVX7GBLFJDICPFXB44TVFXYJ3XO,Most Recent Page Read,Most Recent Page Read Dialog Box Dismissed,0
US,2024-11-11T04:52:36Z,Kindle E-reader,www.amazon.com,N2GXACRU2Y75KKK7J7XPZLMLHHQJ3XEB,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-01-21T23:11:39Z,Kindle E-reader,www.amazon.com,B0CC1J32NG,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-06-26T02:53:03Z,Kindle E-reader,www.amazon.com,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Most Recent Page Read,Most Recent Page Read Dialog Box Dismissed,0
US,2024-09-02T15:12:02Z,Kindle E-reader,www.amazon.com,05C4DA136A6A4FFC99DBA85BEE6FF300,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-08-22T03:22:45Z,Kindle E-reader,www.amazon.com,3F18E7B1DE9B48E1B46CEBD543D9AD15,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-01-27T04:29:31Z,Kindle E-reader,www.amazon.com,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-07-30T03:27:42Z,Kindle E-reader,www.amazon.com,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Last Page Read,forward_page_swipe_,1
US,2024-11-07T02:36:07Z,Kindle E-reader,www.amazon.com,Q2GMDSWTP3KRSTVF5WHAONVIHS325UHL,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2025-03-20T04:01:43Z,Kindle E-reader,www.amazon.com,TEOQR3X2DN2TSHJ276HTYWLF6WUZXQBC,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-11-07T03:39:38Z,Kindle E-reader,www.amazon.com,28C62463866C4CC99233564ED847A1A5,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-12-28T05:51:10Z,Kindle E-reader,www.amazon.com,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Most Recent Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
US,2024-08-09T03:01:08Z,Kindle E-reader,www.amazon.com,B0CL3FMNKJ,Last Page Read,Most Recent Page Read Dialog Box Dismiss in Progressbar,0
