created_timestamp,preferred_marketplace,country,device_family,ASIN,Result
2025-06-12T23:35:24Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Aa menu opened
2025-06-12T23:35:12Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Aa menu opened
