created_timestamp,preferred_marketplace,country,device_family,ASIN,Action Type,Navigation Mode,Reading In Full Page Mode,Consecutive Actions Performed
2025-05-30T01:31:05Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,1
2025-05-27T03:30:10Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Show Navigation Bar,Paginated Reading,No,1
2025-06-27T19:12:10Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,PageTurn,Paginated Reading,Yes,6
2025-05-29T03:29:59Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-07-29T15:55:07Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-15T21:15:55Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Show Navigation Bar,Paginated Reading,No,1
2025-05-14T21:27:13Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,PageTurn,Paginated Reading,Yes,18
2025-05-27T03:29:55Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-15T21:15:47Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-29T03:30:00Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Hide Navigation Bar,Paginated Reading,Yes,1
2025-05-29T02:50:22Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-12T23:39:09Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,4
2025-05-29T03:40:37Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-05-27T22:27:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Show Navigation Bar,Paginated Reading,No,1
2025-05-14T21:18:16Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Hide Navigation Bar,Paginated Reading,Yes,1
2025-06-15T21:25:30Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Show Navigation Bar,Paginated Reading,No,1
2025-05-21T23:25:40Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,3
2025-07-29T20:33:19Z,www.amazon.com,US,Kindle for Android,Not Available,PageTurn,Paginated Reading,Yes,2
2025-05-27T03:30:12Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Hide Navigation Bar,Paginated Reading,Yes,1
