device serial number,device_family,amazon marketplace,device_record_time,customer_opt_out_flag,country_of_residence
G0016T03101203AQ,E-Ink,Amazon.com,2021-07-24T00:41:14Z,No,United States
G000KU06635704PV,Tablet,Amazon.com,2018-04-20T15:36:18Z,No,United States
