created_timestamp,ASIN,action,device_family,country,preferred_marketplace
2024-07-31T10:18:01Z,28C62463866C4CC99233564ED847A1A5,NotebookFullWindowViewPresented,Kindle for Android,US,www.amazon.com
2024-07-31T10:18:04Z,28C62463866C4CC99233564ED847A1A5,GoToBookmark,Kindle for Android,US,www.amazon.com
2024-08-26T02:41:34Z,28C62463866C4CC99233564ED847A1A5,NotebookFullWindowViewPresented,Kindle for Android,US,www.amazon.com
2024-08-26T02:41:35Z,28C62463866C4CC99233564ED847A1A5,GoToBookmark,Kindle for Android,US,www.amazon.com
