asin_date_and_content_type,product_name
B0BKPPPQNV_2022-11-01_MANUAL,Runner's World
B0BPX7SF89_2023-11-06_AUTOMATIC,North Woods: A Novel
B0BQGHJM5L_2024-04-08_AUTOMATIC,"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading"
B0BQLKNTYR_2023-10-03_AUTOMATIC,The Last Devil to Die: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 4)
B0BQVLNL73_2023-01-12_MANUAL,Runner's World
B0BR511292_2023-12-14_AUTOMATIC,Wellness: A Novel (Oprah's Book Club)
B0BTVBH6G3_2023-09-25_AUTOMATIC,The Vaster Wilds: A Novel
B0BTZRQHJM_2024-03-30_AUTOMATIC,The Clementine Complex
B0BWMMN631_2023-02-28_MANUAL,Runner's World
B0BXTB6HSN_2024-04-04_AUTOMATIC,The Fury
B0BZ5Y513V_2024-12-18_AUTOMATIC,Orbital: A Novel (Booker Prize Winner)
B0C1YCKNK1_2024-03-01_AUTOMATIC,You Dreamed of Empires: A Novel
B0C3C886FY_2024-01-29_AUTOMATIC,Martyr!: A novel
B0C3QHMLGL_2023-04-28_MANUAL,Runner's World
B0C4PX8RD7_2024-05-08_AUTOMATIC,The Day Tripper: A Powerful Time Travel Redemption Story of Small Actions Leading to Big Consequences
B0C592RHNC_2024-02-04_AUTOMATIC,True North: A Novel
B0C5LRCM2F_2023-12-12_AUTOMATIC,The Mystery Guest: A Maid Novel (Molly the Maid Book 2)
B0C7RPT9B3_2024-03-08_AUTOMATIC,Northwoods: A Novel
B0CBW58P3J_2023-10-12_AUTOMATIC,The Rise: A Short Story
B0CJ9TSSYB_2024-05-28_AUTOMATIC,I Hope This Finds You Well: A Novel
B0CL3FMNKJ_2024-08-08_AUTOMATIC,The Midnight Feast: An NPR Best Book of the Year
B0CQJHF3HQ_2024-09-26_AUTOMATIC,We Solve Murders: A Novel
B0CW1J3Y5G_2024-10-20_AUTOMATIC,Safe Enough: Crime Stories by the Author of Jack Reacher
B0DHDF2RDL_2025-06-22_MANUAL,The River Is Waiting (Oprah's Book Club): A Novel
B0DMDYK6Y6_2025-01-31_MANUAL,The Bones of Bascom Hall
CDR35CJELKKDYPJWZBMD6CG3XFMVZI4U_2025-04-13_AUTOMATIC,Not Available
CLAXYW2N4FTQ76CN6JTRJPY5TJ6LGVCD_2025-05-23_AUTOMATIC,Not Available
CQ3N5YSGGUHIX2SAY53DAX226KYAHXEQ_2024-10-31_AUTOMATIC,Not Available
FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU_2025-05-21_AUTOMATIC,Not Available
HUKF6ODKYJKXSFIK5P7Q7DIOWPD325YP_2025-02-27_AUTOMATIC,Not Available
JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B_2025-06-08_AUTOMATIC,Not Available
JZLZQO3Y3EPKB7K2WUG7MGTYPVYOZWJS_2025-01-06_AUTOMATIC,Not Available
LH2FCVKSFLIA3RE4365AAGYFG76TA7UI_2025-01-15_AUTOMATIC,Not Available
MDA2MPOTKOJLTLOVINZIHHXFP4Q3WPNH_2025-05-01_AUTOMATIC,Not Available
MX76DL77CZU6RDBXMKY4ZAL5GJ55MMGG_2025-02-26_AUTOMATIC,Not Available
MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z_2025-07-17_AUTOMATIC,Not Available
O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U_2025-05-27_AUTOMATIC,Not Available
OOAZWAIV63UB2CXNZN7NGGRP3MSZBQBM_2025-01-04_AUTOMATIC,Not Available
PTBMJPRMFADHGCZ7ESUYHIIFVONVRXUJ_2025-03-10_AUTOMATIC,Not Available
RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV_2025-05-14_AUTOMATIC,Not Available
SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT_2025-07-10_AUTOMATIC,Not Available
T6MYHFXIDDXQI6XRF7TXNWHDWDS2DECW_2025-02-04_AUTOMATIC,Not Available
VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI_2025-07-13_AUTOMATIC,Not Available
XUTYDSDJUGD5CEHPJUSBR6WPEFKRWCFB_2025-02-20_AUTOMATIC,Not Available
B000FBJDF2_2020-04-04_MANUAL,Persuader: A Jack Reacher Novel
B000GCFG7E_2020-05-08_MANUAL,The Hard Way: A Reacher Novel (Jack Reacher Book 10)
B000JML2Z6_2020-12-03_MANUAL,Not Available
B000OZ0NXA_2020-01-27_MANUAL,"Killing Floor (Jack Reacher, Book 1)"
B001FXK8XU_2020-02-16_MANUAL,Tripwire (Jack Reacher Book 3)
B006QNNCT6_2019-05-16_MANUAL,Not Available
B006RMQWVG_2021-07-24_MANUAL,Not Available
B006S1BPPO_2021-07-24_MANUAL,Not Available
B006TJND78_2021-07-24_MANUAL,Not Available
B006UQUVQG_2021-07-24_MANUAL,Not Available
B006VPEDQK_2021-07-24_MANUAL,Not Available
B006VUQWRS_2021-07-24_MANUAL,Not Available
B006VUQWRS_2021-07-26_MANUAL,Not Available
B006YP1QIK_2021-07-24_MANUAL,Not Available
B00710MIMK_2021-07-24_MANUAL,Not Available
B00740MCCS_2021-07-24_MANUAL,Not Available
B0074ALXR8_2021-07-24_MANUAL,Not Available
B0078XQCHW_2021-07-24_MANUAL,Not Available
B00HYQEJAK_2022-03-04_AUTOMATIC,How You Can Run Faster Effortlessly
B00II6SY4W_2020-12-03_MANUAL,The Science of Running: How to find your limit and train to maximize your performance
