Device Serial Number,CustomerType,DeviceAccountRole,AccountName,FirstTimeRegistered,LastTimeRegistered,TimeDeregistered,State,CurrentFirmwareVersion,DeviceModel,Amazon Device Model Name,LocalTimeOffset,IpAddress,CustomerLoginPool,DevicePairingDetails
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible 4,2011-09-30T00:57:16.568Z,2011-09-30T00:57:16.568Z,2012-12-05T17:32:57.213Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,Incredible,2011-09-28T10:45:24.455Z,2011-09-28T10:49:58.856Z,2012-03-08T22:38:34.145Z,INACTIVE,0,ADR6300,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible 4,2011-09-27T21:38:23.291Z,2011-09-27T21:38:23.291Z,2011-09-29T17:00:05.643Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible 3,2011-09-26T00:05:32.624Z,2011-09-26T00:05:32.624Z,2012-12-05T17:32:53.340Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,iPad,2011-09-23T15:15:34.981Z,2012-03-08T22:44:08.053Z,2013-11-15T18:20:54.158Z,INACTIVE,0,iPad1.1,Not Available,Not Available,Not Available,Amazon,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's Android,2011-09-23T14:41:08.240Z,2011-09-23T14:41:08.240Z,2011-09-28T14:13:16.476Z,INACTIVE,0,ADR6300,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's 2nd  Android,2011-09-22T18:04:25.270Z,2011-09-22T18:04:25.270Z,2011-09-23T15:42:37.092Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible 2,2011-09-10T03:48:37.911Z,2011-09-10T03:48:37.911Z,2012-12-05T17:33:10.134Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible 1,2011-08-27T21:42:42.825Z,2011-08-27T21:42:42.825Z,2012-12-05T17:33:05.881Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,HTC Droid Incredible,2011-04-01T15:55:27.656Z,2011-04-01T15:55:27.656Z,2015-07-10T15:43:55.328Z,INACTIVE,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable
Third party device/Application,ADULT,PRIMARY,Andrew's  Android,2010-09-24T19:20:42.000Z,2010-09-24T19:20:42.000Z,2011-09-23T15:42:30.170Z,INACTIVE,0,ADR6300,Not Available,Not Available,Not Available,Not Available,Not Applicable
