created_timestamp,preferred_marketplace,country,device_family,ASIN,supports_auxiliary_content,has_auxiliary_content,auxiliary_content_enabled,auxiliary_content_type
2023-03-07T04:03:33Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Yes,Yes,Yes,Xray
2024-01-20T04:50:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-11-22T03:31:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-10-26T04:31:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-02-28T03:58:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-01-29T04:10:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-11-08T04:58:18Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-09-02T03:47:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-01-28T05:32:24Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-03-07T04:03:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-01-01T04:43:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-08-04T03:15:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2021-12-27T05:22:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-08-27T22:06:38Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2022-05-27T20:31:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-09-09T02:53:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2022-12-16T04:25:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2024-05-21T04:50:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-04-15T03:03:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2021-07-28T04:30:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-01-27T04:29:06Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-04-24T03:10:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-01-30T04:05:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2023-06-08T03:33:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-02-19T05:47:57Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2023-12-14T02:54:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-04-24T03:22:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2022-07-22T04:17:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,No,Yes,Xray
2025-02-09T05:41:44Z,www.amazon.com,US,Kindle E-reader,LHXKLEWH52LWXBSOBOTMRLRJ2CONAJCC,No,No,Yes,Xray
2022-03-14T04:22:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2025-03-26T04:04:48Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2021-08-04T22:05:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-05-21T04:37:03Z,www.amazon.com,US,Kindle E-reader,B0CDKLBD2W,Yes,Yes,Yes,Xray
2024-10-29T02:49:02Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2025-07-18T03:22:08Z,www.amazon.com,US,Kindle E-reader,Not Available,No,No,Yes,Xray
2024-05-17T02:55:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2023-09-28T04:09:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
2024-07-26T03:23:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Yes,Yes,Yes,Xray
