created_timestamp,preferred_marketplace,country,device_family,ASIN,ereader_wifi_time_to_connect_ms
2023-03-29T02:36:57Z,www.amazon.com,US,Kindle E-reader,Not Available,6597
2024-03-26T02:46:59Z,www.amazon.com,US,Kindle E-reader,Not Available,190
2023-08-04T04:10:23Z,www.amazon.com,US,Kindle E-reader,B084G9Z5C3,5553
2024-04-13T22:38:20Z,www.amazon.com,US,Kindle E-reader,Not Available,3058
