created_timestamp,preferred_marketplace,country,device_family,ASIN,ads_or_recommendations_type,ads_or_recommendations_asin,ad_or_recommendation_location,ad_or_recommendation_position
2023-04-27T08:30:01Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Recommended for You Recommendation,B09QBYCC3J,Lockscreen,Lockscreen
2023-02-07T00:07:27Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B09NTK9WDQ,Lockscreen,Lockscreen
2023-02-22T07:54:30Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B00OXM980O,Lockscreen,Lockscreen
2023-07-23T20:19:39Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,Recommended for You Recommendation,B09ZRWP8DS,Lockscreen,Lockscreen
2023-03-10T08:03:55Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,Recommended for You Recommendation,B09Q7XH3N8,Lockscreen,Lockscreen
2023-06-05T07:45:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-06-09T08:42:42Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,Recommended for You Recommendation,B09XM4GDLV,Lockscreen,Lockscreen
2023-05-23T23:21:07Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B076GQCBFP,Lockscreen,Lockscreen
2023-05-25T18:30:58Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-05-25T08:32:49Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-04-13T04:40:37Z,www.amazon.com,US,Kindle E-reader,B000U913EI,More by Author Recommendation,B00305CYKQ,Lockscreen,Lockscreen
2023-04-20T04:35:11Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-06-16T19:15:49Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Recommended for You Recommendation,B0B5SP91VY,Lockscreen,Lockscreen
2023-03-24T07:11:36Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B09QBYCC3J,Lockscreen,Lockscreen
2023-04-27T22:15:23Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Recommended for You Recommendation,B09G9D94VW,Lockscreen,Lockscreen
2023-04-28T07:12:07Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,More by Author Recommendation,B0775B8RND,Lockscreen,Lockscreen
2023-06-19T00:57:06Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-05-15T03:09:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B09QBYCC3J,Lockscreen,Lockscreen
2023-06-21T07:55:55Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
