created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2023-03-30T05:07:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-03-23T21:22:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-04-13T17:06:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-03-25T18:29:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-04-14T21:13:47Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Sync is Performed,Navigate to Furthest Page Read
2023-04-11T03:07:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-07-05T02:15:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-03-31T20:59:33Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Sync is Performed,Navigate to Furthest Page Read
2023-07-23T19:58:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-04-14T21:14:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-04-10T21:45:28Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,Sync is Performed,Navigate to Furthest Page Read
2023-07-05T02:15:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2023-03-01T03:42:44Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Sync is Performed,Navigate to Furthest Page Read
2023-06-22T22:39:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2023-08-28T17:51:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-05-08T22:43:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Inside the Book
2024-06-17T03:56:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Inside the Book
2023-12-13T21:54:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-06-01T17:43:28Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Sync is Performed,Manual Sync Action Clicked Inside the Book
