"Product Name","ASIN","Author Name"
"Checkout 19: A Novel","B097XBXQ1T","Bennett, Claire-Louise"
"The Sequel: A Novel (The Book Series 2)","B0CQHM2KL5","Korelitz, Jean Hanff"
"Here One Moment","0593798600","Moriarty, Liane"
"We Solve Murders: A Novel","B0CQJHF3HQ","Osman, Richard"
"Creation Lake: A Novel","1982116528","Kushner, Rachel"
"The Kind Worth Killing: A Novel","0062267523","Swanson, Peter"
"A Talent for Murder: A Novel","0063205033","Swanson, Peter"
"A (Very) Short History of Life on Earth: 4.6 Billion Years in 12 Pithy Chapters","B092T8QDYW","Gee, Henry"
"Invitation to a Banquet: A History of Chinese Food","B0BWGKNK7G","Dunlop, Fuchsia"
"I Cheerfully Refuse","B0CH1NHWNW","Enger, Leif"
"The Midnight Feast: An NPR Best Book of the Year","B0CL3FMNKJ","Foley, Lucy"
"End of Story: An Enthralling Thriller with a Suspenseful Plot, Get Lost in the Pages and Unravel the Mystery","B078R46LCY","Finn, A. J"
"The Hunter: A Novel","B0C7729CF8","French, Tana"
"The Hunter: A Novel","0593493435","French, Tana"
"The Pale Blue Eye: A Novel","B000GCFX6S","Bayard, Louis"
"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","B0CDKLBD2W","Larson, Erik"
"Who Owns This Sentence?: A History of Copyrights and Wrongs","B0C97F8KPY","Montagu, Alexandre"
"Outsider: An Old Man, a Mountain and the Search for a Hidden Past","B0B7NZHCKR","Popplewell, Brett"
"The Winner: A Novel","0063353598","Wayne, Teddy"
"Still Waters: A Novel","1250325692","Goldman, Matt"
"The Body in Question: A Novel","B07RT71Z48","Jill Ciment"
"One Perfect Couple","B0CL5G23ZF","Ware, Ruth"
"The Golden Spoon: A Novel","B0B3Y9JVMK","Maxwell, Jessa"
"The Ferryman: A Novel","B0B8GZ58DK","Cronin, Justin"
"Balloon Dog","B09X34KMRM","Paisner, Daniel"
"The Aosawa Murders","B07QN87LQB","Onda, Riku"
"I Hope This Finds You Well: A Novel","B0CJ9TSSYB","Sue, Natalie"
"Tokyo Ueno Station (National Book Award Winner): A Novel","B081914PR7","Miri, Yu"
"A Travel Guide to the Middle Ages: The World Through Medieval Eyes","B0C97G1ZR6","Bale, Anthony Paul "
"A Young People's History of the United States (For Young People Series)","B003B4IW2U","Zinn, Howard"
"The Heaven & Earth Grocery Store: A Novel","B0BPNP7YQB","McBride, James"
"The Covenant of Water (Oprah's Book Club)","B0BJSGV831","Verghese, Abraham"
"The Day Tripper: A Powerful Time Travel Redemption Story of Small Actions Leading to Big Consequences","B0C4PX8RD7","Goodhand, James"
"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and EverythingElse","B08PF965W9","Ellenberg, Jordan"
"Wandering Stars: A novel","B0C772ZLMQ","Orange, Tommy"
"The Upstairs Delicatessen: On Eating, Reading, Reading About Eating, and Eating While Reading","B0BQGHJM5L","Garner, Dwight"
"Salvation of a Saint: A Detective Galileo Novel (Detective Galileo Series Book 2)","B007RMYE9M","Higashino, Keigo"
"Zero at the Bone: Fifty Entries Against Despair","B0BQGJVCMT","Wiman, Christian"
"The Fury","B0BXTB6HSN","Michaelides, Alex"
"Ordinary Grace: A Novel","B008J2G5Y6","Krueger, William Kent"
"Scenes from a Childhood — WINNER OF THE 2023 NOBEL PRIZE IN LITERATURE","B07BX82VS9","Fosse, Jon"
"The Clementine Complex","B0BTZRQHJM","Mortimer, Bob"
"Everyone on This Train Is a Suspect: A Novel (The Ernest Cunningham Mysteries Book 2)","B0C6KMGND1","Stevenson, Benjamin"
"Northwoods: A Novel","B0C7RPT9B3","Pease, Amy"
"I Know What You Did: A Novel","B0BJP5QFFM","Osborne, Cayce"
"Heart Sutra","B0B72HGHW8","Lianke, Yan"
"You Dreamed of Empires: A Novel","B0C1YCKNK1","Enrigue, Álvaro"
"Northwoods: A Novel","B0C7RQ8Y2F","Pease, Amy"
"The Devotion of Suspect X: A Detective Galileo Novel (Detective Galileo Series Book 1)","B0044781ZQ","Higashino, Keigo"
"Prophet Song: A Novel (Booker Prize Winner)","B0CLQVQSVL","Lynch, Paul"
"Someone Who Will Love You in All Your Damaged Glory: Stories","B07HDT9JFX","Bob-Waksberg, Raphael"
