created_timestamp,preferred_marketplace,country,device_family,ASIN,Current Aa Reading Ruler Setting,Previous Aa Reading Ruler Setting
2025-05-27T03:28:12Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Disabled,Enabled
2025-05-27T03:27:47Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Enabled,Disabled
