created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2023-02-22T06:52:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-02-15T06:11:18Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,com.amazon.library.actions.return_borrowed_book_action,Action Performed in Second Book of the Campaign,book_detail_view_action,1
2023-04-09T04:00:51Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Selected Campaign Header,tap,1
2025-01-05T05:49:43Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4320330039,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-05-24T03:44:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Book Selected,Selected Campaign Header,tap,1
2025-07-01T02:37:29Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Menu Option Selected,Selected Campaign Header,tap,1
2023-02-15T22:06:48Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Selected Campaign Header,tap,1
2025-03-23T03:56:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Menu Option Selected,Action Performed in Second Book of the Campaign,tap,1
2023-11-28T04:40:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4131230058,com.amazon.library.actions.remove_this_sample,Action Performed in First Book of the Campaign,book_detail_view_action,1
2023-03-07T03:34:45Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3889340042,Book Selected,Action Performed in First Book of the Campaign,tap,1
2023-03-30T03:49:25Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Information Page Invoked,Action Performed in Third Book of the Campaign,hold,1
2024-01-10T04:34:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-04-28T22:56:55Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Selected Campaign Header,tap,1
2024-03-02T04:48:40Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4169610030,Book Selected,Selected Campaign Header,tap,1
2024-05-10T21:28:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,Book Selected,Selected Campaign Header,tap,1
2024-06-05T05:01:36Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4212840015,com.amazon.library.actions.return_borrowed_book_action,Action Performed in First Book of the Campaign,book_detail_view_action,1
