created_timestamp,preferred_marketplace,device_family,card_name,card_position
2023-01-07T06:14:27Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-27T23:51:02Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-05-15T03:22:00Z,www.amazon.com,Kindle for Android,,2
2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,,3
2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,,4
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,,4
2023-07-21T15:52:15Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-16T05:10:55Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-03-05T04:56:33Z,www.amazon.com,Kindle for Android,,12
2022-12-20T19:00:07Z,www.amazon.com,Kindle for Android,,2
2023-02-05T20:51:04Z,www.amazon.com,Kindle for Android,,2
2023-01-25T00:55:14Z,www.amazon.com,Kindle for Android,More by [author name],2
2023-07-04T18:22:28Z,www.amazon.com,Kindle for Android,More like [book title],3
2023-02-15T06:01:42Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2023-02-20T19:12:15Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:31:56Z,www.amazon.com,Kindle for Android,More by [author name],2
2023-05-14T17:40:27Z,www.amazon.com,Kindle for Android,Mystery and Thriller books in Kindle Unlimited,2
2023-03-07T03:52:22Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-04-13T03:00:42Z,www.amazon.com,Kindle for Android,,2
2023-02-28T00:03:10Z,www.amazon.com,Kindle for Android,More like [book title],4
2023-03-05T04:55:47Z,www.amazon.com,Kindle for Android,Expand your reading horizons,2
2023-06-06T01:34:33Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,1
2023-03-05T04:55:47Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:01:57Z,www.amazon.com,Kindle for Android,,3
2023-02-05T20:51:05Z,www.amazon.com,Kindle for Android,,2
2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,,6
2023-02-28T00:02:49Z,www.amazon.com,Kindle for Android,Expand your reading horizons,2
2023-03-07T03:52:02Z,www.amazon.com,Kindle for Android,More like [book title],5
2023-02-28T19:20:29Z,www.amazon.com,Kindle for Android,Upcoming releases for you,7
2022-12-25T19:31:17Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-02-15T06:18:43Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2023-01-19T05:43:08Z,www.amazon.com,Kindle for Android,,8
2023-02-20T03:02:01Z,www.amazon.com,Kindle for Android,,11
