created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2023-02-11T08:07:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-30T08:43:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-04T03:00:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-11T04:09:01Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T05:28:14Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-27T08:42:24Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,wireless,wifi,by user
2023-06-27T22:44:20Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,wireless,wifi,by user
2023-05-17T04:16:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-09T08:42:48Z,www.amazon.com,US,Kindle E-reader,B09XBGYWSR,wireless,wifi,by user
2023-04-16T03:38:47Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T22:21:19Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-12T08:04:26Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-03-14T05:40:31Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,wireless,wifi,by user
2023-04-05T08:42:32Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,wireless,wifi,by user
2023-05-04T03:10:41Z,www.amazon.com,US,Kindle E-reader,B084357H23,wireless,wifi,by user
2023-03-22T03:52:29Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,wireless,wifi,by user
2023-03-13T08:45:03Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-20T21:39:31Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,wireless,wifi,by user
2023-02-20T08:05:24Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-20T02:26:07Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,wireless,wifi,by user
2023-05-12T08:42:31Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,wireless,wifi,by user
2023-01-11T08:05:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-12T22:50:46Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-17T04:24:25Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-04-28T04:06:20Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-02T08:46:00Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2022-12-27T09:21:30Z,www.amazon.com,US,Kindle E-reader,B09T9D8QY7,wireless,wifi,by user
2023-07-04T21:57:54Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,wireless,wifi,by user
2023-07-13T03:04:57Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-02-25T04:27:24Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,wireless,wifi,by user
2023-02-20T08:04:28Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,wireless,wifi,by user
2023-07-03T03:23:40Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-24T04:03:12Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-06-23T08:43:36Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-05-28T22:33:09Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-04T03:08:54Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,wireless,wifi,by user
2023-07-19T08:42:32Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,wireless,wifi,by user
2023-04-10T08:43:31Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-03-30T03:48:48Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-04-25T08:45:00Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-01-27T04:31:05Z,www.amazon.com,US,Kindle E-reader,B09R21YVLM,wireless,wifi,by user
2023-03-29T02:36:52Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,wifi,by user
2023-01-26T05:39:07Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2023-07-05T02:36:28Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,wireless,wifi,by user
2023-05-08T08:43:22Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
2022-12-23T22:00:39Z,www.amazon.com,US,Kindle E-reader,B08BYBNGMW,wireless,wifi,by user
2023-06-13T02:04:51Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,wireless,wifi,by user
2023-02-14T06:04:20Z,www.amazon.com,US,Kindle E-reader,Not Available,wireless,none,by user
