Timestamp,Activity,CampaignName,DisplayStatus
2025-06-11T03:15:38Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-09-29T15:30:45Z,RECEIVED,tips,displayed
2025-07-06T19:42:22Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-02-15T06:02:01Z,ACTION_TRAY_CLEARED,,
2024-08-21T21:44:41Z,ACTION_TRAY_CLEARED,,
2024-01-04T03:41:27Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2024-01-04T03:41:27Z,ACTION_TRAY_OPEN,,
2024-08-15T15:13:14Z,RECEIVED,kindle_recommends,displayed
2023-03-31T16:15:48Z,ACTION_TRAY_CLOSE,,
2025-04-17T19:32:13Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-06-28T03:54:42Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-08-09T02:23:21Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-08-09T19:16:49Z,RECEIVED,tips,displayed
2023-02-27T23:51:25Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-01-06T21:44:01Z,ACTION_TRAY_CLEARED,,
2025-01-20T18:51:20Z,ACTION_TRAY_CLOSE,,
2025-06-12T23:38:20Z,ACTION_TRAY_OPEN,,
2023-07-16T21:09:28Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2025-03-04T01:55:56Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-02-20T22:52:23Z,ACTION_TRAY_CLOSE,,
2025-05-29T20:54:38Z,RECEIVED,tips,displayed
2025-06-15T22:27:14Z,RECEIVED,kindle_recommends,displayed
2025-02-19T05:28:08Z,ACTION_TRAY_CLEARED,,
2025-04-09T01:23:00Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-12-23T03:48:07Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-12-27T02:40:16Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-12-18T01:45:28Z,ACTION_TRAY_OPEN,,
2024-09-01T18:52:58Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-09-22T21:59:14Z,ACTION_TRAY_OPEN,,
2024-02-15T00:44:19Z,RECEIVED,tips,displayed
2025-03-09T17:51:41Z,ACTION_TRAY_OPEN,,
2023-07-03T15:17:57Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-06-09T19:18:51Z,ACTION_TRAY_CLEARED,,
2025-06-14T20:13:37Z,RECEIVED,tips,displayed
2023-08-28T17:49:44Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-02-10T21:17:33Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-06-30T22:47:05Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-06-26T01:24:02Z,ACTION_TRAY_CLOSE,,
2023-12-09T16:54:00Z,ACTION_TRAY_CLEARED,,
2023-07-21T15:52:34Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-05-14T17:40:57Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-03-30T03:47:21Z,ACTION_TRAY_CLOSE,,
2025-03-04T01:55:56Z,ACTION_TRAY_CLOSE,,
2025-01-05T04:39:24Z,ACTION_TRAY_OPEN,,
2025-06-26T01:24:02Z,ACTION_TRAY_OPEN,,
