created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2024-05-05T21:10:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-07-27T03:56:30Z,www.amazon.com,US,Kindle E-reader,B0CH1NHWNW,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2024-06-17T03:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2023-09-14T03:28:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2024-05-08T22:37:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2023-12-01T04:15:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2023-08-07T21:37:24Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-05-05T21:10:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2023-10-24T03:20:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2023-12-01T04:15:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2023-12-31T04:49:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Store,VoiceView turned off,
2024-06-01T17:39:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,In-book,VoiceView turned off,
2023-12-13T05:22:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Library,VoiceView turned off,
2023-07-30T12:13:04Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,Opened Quick Actions,Tapped Quick Actions drop-down button,In-book,VoiceView turned off,
