created_timestamp,preferred_marketplace,country,device_family,ASIN,dialog_type_displayed
2023-04-03T21:10:32Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Sync To Furthest Reading Position dialog
2022-12-03T04:42:14Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-15T03:29:24Z,www.amazon.com,US,Kindle E-reader,B0B33PJZJT,GoTo Page or Location dialog
2022-12-03T10:37:47Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-05T04:22:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2023-05-04T03:10:47Z,www.amazon.com,US,Kindle E-reader,B084357H23,Sync To Furthest Reading Position dialog
2022-12-05T04:24:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2022-12-03T04:41:58Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-02T21:31:34Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-03-24T22:23:53Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Sync To Furthest Reading Position dialog
2022-12-02T21:39:18Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-05T04:36:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2022-09-06T02:35:32Z,www.amazon.com,US,Kindle E-reader,B08PF965W9,Footnote dialog
2022-12-07T04:08:42Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-03T04:48:47Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-06T05:59:37Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-09-06T02:31:08Z,www.amazon.com,US,Kindle E-reader,B08PF965W9,Footnote dialog
2023-06-22T02:59:02Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Sync To Furthest Reading Position dialog
2022-12-07T04:13:16Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-02T21:31:12Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-09-06T02:33:57Z,www.amazon.com,US,Kindle E-reader,B08PF965W9,Footnote dialog
2023-06-13T01:24:10Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Sync To Furthest Reading Position dialog
2023-04-27T22:15:09Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,Sync To Furthest Reading Position dialog
2023-04-19T21:32:35Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Sync To Furthest Reading Position dialog
2022-12-03T04:59:32Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-05-01T20:39:39Z,www.amazon.com,US,Kindle E-reader,B003L77UKC,Sync To Furthest Reading Position dialog
2022-12-02T21:35:10Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Search dialog
2022-12-03T10:37:15Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-08-12T03:35:00Z,www.amazon.com,US,Kindle E-reader,B084M663VB,More options dialog
2022-12-02T21:13:05Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-03-24T04:48:33Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,GoTo Page or Location dialog
2023-05-09T03:11:57Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,More options dialog
2023-03-01T03:42:40Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Sync To Furthest Reading Position dialog
2023-03-31T20:59:31Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Sync To Furthest Reading Position dialog
2022-12-02T21:17:35Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2022-12-03T05:05:22Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
2023-03-15T01:08:12Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,Note dialog
2022-12-05T04:27:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Footnote dialog
2023-03-23T21:23:31Z,www.amazon.com,US,Kindle E-reader,B007D1TKAU,Sync To Furthest Reading Position dialog
2023-05-08T19:25:14Z,www.amazon.com,US,Kindle E-reader,B084357H23,Sync To Furthest Reading Position dialog
2022-12-03T04:40:26Z,www.amazon.com,US,Kindle E-reader,B08KH4LZDM,Footnote dialog
