created_timestamp,preferred_marketplace,country,device_family,ASIN,Old Reading Progress Mode,New Reading Progress Mode
2025-07-26T04:21:23Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-05-24T18:59:27Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-06-02T00:35:35Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-06-02T22:20:21Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-05-17T20:32:26Z,www.amazon.com,US,Kindle E-reader,CLAXYW2N4FTQ76CN6JTRJPY5TJ6LGVCD,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-07-15T04:13:08Z,www.amazon.com,US,Kindle E-reader,RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,NONE,PAGE_NUMBER
2025-06-12T23:42:54Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,NONE,PAGE_NUMBER
2025-07-27T00:56:09Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,TIME_LEFT,LOCATION
2025-06-12T23:42:53Z,www.amazon.com,US,Kindle E-reader,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,LOCATION,NONE
2025-07-01T02:37:06Z,www.amazon.com,US,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,NONE,PAGE_NUMBER
2025-05-20T02:26:48Z,www.amazon.com,US,Kindle E-reader,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,NONE,PAGE_NUMBER
2025-07-15T04:00:12Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,TIME_LEFT,LOCATION
2025-05-31T03:43:55Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,LOCATION,NONE
2025-05-31T21:35:56Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-07-26T21:07:03Z,www.amazon.com,US,Kindle E-reader,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-06-06T03:32:35Z,www.amazon.com,US,Kindle E-reader,Not Available,TIME_LEFT,LOCATION
2025-06-06T03:32:29Z,www.amazon.com,US,Kindle E-reader,Not Available,NONE,PAGE_NUMBER
2025-06-06T03:32:37Z,www.amazon.com,US,Kindle E-reader,Not Available,NONE,PAGE_NUMBER
2025-07-26T04:20:55Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,LOCATION,NONE
2025-07-26T04:21:27Z,www.amazon.com,US,Kindle E-reader,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,TIME_LEFT,LOCATION
2025-08-01T03:18:54Z,www.amazon.com,US,Kindle E-reader,FL3NEUQ2GAR53VPJA4427F67PPROIYBM,PAGE_NUMBER,TIME_LEFT_IN_CHAPTER
2025-07-15T04:00:09Z,www.amazon.com,US,Kindle E-reader,Not Available,TIME_LEFT_IN_CHAPTER,TIME_LEFT
2025-07-31T03:15:17Z,www.amazon.com,US,Kindle E-reader,SEZPDYLSFM2BYZQJNVIF2P5X74LX7RKR,LOCATION,NONE
2025-07-01T02:37:01Z,www.amazon.com,US,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,TIME_LEFT_IN_CHAPTER,TIME_LEFT
