ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B09RX2WQ3M,No One Left to Come Looking for You: A Novel,kindle.continuous_read,2023-02-07T00:06:25Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-16T04:21:35Z,2023-02-07T00:06:26Z,Not Available,Not Available,Not Available,Not Available,No
B09RX2WQ3M,No One Left to Come Looking for You: A Novel,kindle.most_recent_read,2023-02-07T00:06:25Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-16T04:21:35Z,2023-02-07T00:06:26Z,Not Available,Not Available,Not Available,Not Available,No
B09RX2WQ3M,No One Left to Come Looking for You: A Novel,kindle.last_read,2022-12-16T04:51:41Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-16T04:21:35Z,2022-12-16T04:51:43Z,Not Available,Not Available,Not Available,Not Available,No
B09RX45W14,The Song of the Cell: An Exploration of Medicine and the New Human,kindle.continuous_read,2022-12-20T03:41:58Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-15T04:43:23Z,2022-12-20T03:42:00Z,Not Available,Not Available,Not Available,Not Available,No
B09RX45W14,The Song of the Cell: An Exploration of Medicine and the New Human,kindle.most_recent_read,2022-12-20T03:41:58Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-15T04:43:23Z,2022-12-20T03:42:00Z,Not Available,Not Available,Not Available,Not Available,No
B09RX45W14,The Song of the Cell: An Exploration of Medicine and the New Human,kindle.last_read,2022-12-18T22:34:22Z,G0016T03101203AQ,EBSP,YJBinary,2022-12-15T04:43:23Z,2022-12-18T22:34:24Z,Not Available,Not Available,Not Available,Not Available,No
B0B33PJZJT,World's Greatest Running Lessons: 50 Lessons to Elevate Your Running,kindle.continuous_read,2022-12-15T03:31:08Z,G0016T03101203AQ,EBOK,YJBinary,2022-12-13T03:52:34Z,2022-12-15T03:31:08Z,Not Available,Not Available,Not Available,Not Available,No
B0B33PJZJT,World's Greatest Running Lessons: 50 Lessons to Elevate Your Running,kindle.most_recent_read,2022-12-15T03:31:08Z,G0016T03101203AQ,EBOK,YJBinary,2022-12-13T03:52:34Z,2022-12-15T03:31:08Z,Not Available,Not Available,Not Available,Not Available,No
B0B33PJZJT,World's Greatest Running Lessons: 50 Lessons to Elevate Your Running,kindle.last_read,2022-12-15T03:31:08Z,G0016T03101203AQ,EBOK,YJBinary,2022-12-13T03:52:34Z,2022-12-15T03:31:08Z,Not Available,Not Available,Not Available,Not Available,No
B08KH4LZDM,The Master & Margarita,kindle.continuous_read,2023-02-28T19:33:07Z,A2CTZ977SKFQZY00A22LYIWQ0XNYZR,EBOK,YJBinary,2022-12-02T20:56:44Z,2023-02-28T19:33:07Z,Not Available,Not Available,Not Available,Not Available,No
