Created Timestamp,Preferred Marketplace ID,Country of Residence,Device Family,ASIN,Widget Position,App Version,Event Page
2022-12-14T17:44:35Z,www.amazon.com,US,Kindle for Android,B0B33PJZJT,2,1285389800,HOME
2023-02-15T06:01:57Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285428200,HOME
2022-12-20T19:00:42Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285389800,HOME
2023-03-09T03:27:06Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2023-02-20T19:12:15Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285428200,HOME
2023-02-28T00:02:49Z,www.amazon.com,US,Kindle for Android,B0BWMMN631,2,1285441000,HOME
2023-01-07T06:09:39Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285403200,HOME
2023-02-28T19:20:59Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285441000,HOME
2022-12-20T19:00:34Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285389800,HOME
2023-01-12T05:35:57Z,www.amazon.com,US,Kindle for Android,B09QMHZ53K,2,1285403200,HOME
2023-02-15T06:18:43Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285428200,HOME
2023-03-07T03:52:58Z,www.amazon.com,US,Kindle for Android,Not Available,13,1285441000,HOME
2023-03-07T03:52:22Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285441000,HOME
2022-12-16T05:09:41Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2023-02-15T06:01:53Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285428200,HOME
2023-04-04T23:12:06Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285466600,HOME
2023-04-30T21:03:32Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285492200,HOME
2023-01-19T05:43:03Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285403200,HOME
2023-03-07T03:52:27Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2022-12-18T22:27:18Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285389800,HOME
2023-04-28T03:38:06Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285492200,HOME
2022-12-25T19:30:54Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285389800,HOME
2023-07-04T18:29:10Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285544000,HOME
2022-12-18T22:27:27Z,www.amazon.com,US,Kindle for Android,Not Available,6,1285389800,HOME
2023-07-04T18:29:10Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285544000,HOME
2023-03-05T04:56:29Z,www.amazon.com,US,Kindle for Android,Not Available,9,1285441000,HOME
2023-02-27T23:51:02Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285441000,HOME
2023-03-07T03:52:00Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285441000,HOME
2023-04-21T03:42:07Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285479400,HOME
2023-06-30T22:47:07Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2022-12-20T19:00:41Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285389800,HOME
2023-05-02T01:03:57Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285492200,HOME
2023-02-20T03:02:23Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285428200,HOME
2023-06-28T03:54:33Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-07-04T18:22:28Z,www.amazon.com,US,Kindle for Android,Not Available,3,1285544000,HOME
2023-02-15T06:18:44Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285428200,HOME
2023-01-19T05:31:29Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285403200,HOME
2023-04-13T03:00:42Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285479400,HOME
2023-02-15T06:18:29Z,www.amazon.com,US,Kindle for Android,Not Available,12,1285428200,HOME
2023-02-20T03:02:00Z,www.amazon.com,US,Kindle for Android,Not Available,10,1285428200,HOME
2023-07-04T18:22:20Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285544000,HOME
2023-03-31T16:15:19Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285466600,HOME
2022-12-08T19:27:25Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2022-12-16T05:11:01Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285389800,HOME
2022-12-13T03:49:17Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2023-04-30T21:03:31Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285492200,HOME
2023-01-19T05:31:50Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285403200,HOME
2022-12-18T22:27:40Z,www.amazon.com,US,Kindle for Android,Not Available,9,1285389800,HOME
2023-04-30T21:04:18Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285492200,HOME
2023-02-15T06:18:43Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285428200,HOME
2023-03-05T04:56:32Z,www.amazon.com,US,Kindle for Android,Not Available,11,1285441000,HOME
2023-07-06T18:55:56Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285544000,HOME
2022-12-25T19:31:18Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285389800,HOME
2023-06-14T22:23:18Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285543400,HOME
2023-03-07T03:51:32Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285441000,HOME
2023-03-30T03:48:01Z,www.amazon.com,US,Kindle for Android,B0BWMMN631,1,1285466600,HOME
2023-01-19T05:31:30Z,www.amazon.com,US,Kindle for Android,Not Available,4,1285403200,HOME
2023-02-28T00:03:12Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285441000,HOME
2023-05-02T01:04:30Z,www.amazon.com,US,Kindle for Android,Not Available,5,1285492200,HOME
2023-07-04T18:35:08Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285544000,HOME
2023-03-07T03:52:22Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285441000,HOME
2023-04-21T03:42:02Z,www.amazon.com,US,Kindle for Android,Not Available,2,1285479400,HOME
2023-03-05T04:55:47Z,www.amazon.com,US,Kindle for Android,Not Available,1,1285441000,HOME
2023-02-15T06:02:19Z,www.amazon.com,US,Kindle for Android,Not Available,7,1285428200,HOME
2022-12-25T19:31:23Z,www.amazon.com,US,Kindle for Android,B08BYBNGMW,2,1285389800,HOME
