created_timestamp,preferred_marketplace,country,device_family,ASIN,Action,Medium,Zoom Scale,Focus X,Focus Y,Context Experience
2024-10-24T03:03:43Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,2.5182,0.5000,0.5000,viewer
2024-08-09T02:42:32Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,2.2989,0.2040,0.5263,viewer
2024-08-26T02:18:12Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,zoom,Touch,2.0895,0.5543,0.5000,viewer
2024-08-09T02:45:00Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.1550,0.2684,0.4898,viewer
2024-10-21T22:26:39Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,1.3605,0.5000,0.5000,viewer
2024-08-09T02:44:59Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.1550,0.4596,0.5042,viewer
2024-08-04T17:18:18Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.4973,0.3910,0.5205,viewer
2024-08-26T02:18:45Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.9737,0.6531,0.4834,viewer
2024-10-20T03:11:24Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,3.1722,0.5000,0.5000,viewer
2024-10-22T03:52:37Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,pan,Touch,2.3316,0.5889,0.5000,viewer
2024-08-09T02:42:31Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,2.2989,0.2762,0.5053,viewer
2024-08-04T17:19:03Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.4973,0.3256,0.4952,viewer
2024-08-26T02:44:57Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,2.1054,0.4909,0.5946,viewer
2024-09-03T01:28:32Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,zoom,Touch,1.4692,0.3403,0.5000,viewer
2024-10-22T03:52:54Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,2.3316,0.5000,0.5000,viewer
2024-10-21T22:25:15Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,zoom,Touch,1.5869,0.5000,0.5000,viewer
2024-08-26T02:18:52Z,www.amazon.com,US,Kindle for Android,28C62463866C4CC99233564ED847A1A5,pan,Touch,1.9737,0.2543,0.5446,viewer
