Created Timestamp,Marketplace,Country,Device Family,ASIN,Selected Setting,Setting Name,Context
2025-04-09T01:22:57Z,www.amazon.com,US,Kindle for Android,Not Available,Enabled,reading_challenges,More Settings
2025-04-09T01:23:10Z,www.amazon.com,US,Kindle for Android,Not Available,Enabled,reading_challenges,More Settings
