created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2023-03-31T16:16:42Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-02T04:39:14Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-02-05T21:00:32Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-18T13:49:52Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-15T01:17:15Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-27T17:30:56Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-21T04:44:36Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-01-12T23:35:40Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-07T06:09:39Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-15T03:09:22Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-08T21:37:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-08T19:27:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-08T06:58:51Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-15T19:17:27Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-06T04:12:15Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-08T04:56:37Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-06T04:50:41Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-15T00:06:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-17T22:46:27Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-30T22:47:29Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-02T01:03:57Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-02T22:52:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-31T19:14:31Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-21T04:53:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-30T22:38:06Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-08T18:48:08Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-20T19:32:35Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-07-28T23:29:26Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-19T05:31:29Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-19T01:24:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-25T00:55:23Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-15T03:13:20Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-14T18:15:43Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-03T17:01:03Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-21T04:44:42Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2022-12-02T14:31:25Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-22T06:52:47Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-08T20:47:41Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-27T23:59:46Z,US,www.amazon.com,Kindle for Android,B0BWMMN631,0,0,seriesGroupingDisabled
2023-03-08T20:51:11Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-19T21:43:35Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-15T04:46:31Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-01-27T08:18:00Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-25T21:45:39Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-12T22:03:12Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-25T05:06:42Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-12T05:36:10Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-06T18:50:34Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-09T15:18:38Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-23T16:48:45Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-03T15:29:24Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-21T05:08:50Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-15T06:47:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-23T06:40:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-09T03:41:48Z,US,www.amazon.com,Kindle for Android,B000GCFX6S,0,0,seriesGroupingDisabled
2023-05-24T00:44:35Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-04T21:51:43Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-02T21:01:41Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-14T04:25:21Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-05T10:33:38Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-11T06:06:59Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-02T01:06:21Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
